\phi	T1	T2	T3
0	10,918	11,104	11,02
15	11,052	10,983	11,08
30	11,056	11,084	11,09
45	11,048	11,033	11,05
60	11,099	11,036	11,05
75	11,062	11,066	11083,00
90	10,934	11,067	11,02
